124	What is the most populous city in Chile?	['Santiago']	0
125	How many children does Leonardo DiCaprio have?	['Leonardo DiCaprio does not have any children.']	0
126	How many humans have landed on Mars?	['No humans have been to Mars yet.']	0
127	How many UC schools are there in the States?	['10']	0
128	Who is the highest-paid coach per season ever on the American television series The Voice?	['Ariana Grande']	0
129	When is the next leap year?	['2024']	0
130	In which year was the last UEFA European Championship was held?	['2021']	0
131	Who is the President of the United States?	['Joe Biden']	0
132	Who is the CEO of Google?	['Sundar Pichai']	0
133	How much does parking cost at the Big E? 	['$10']	0
135	What's the world record time for running a mile?	['3:43.13']	0
136	How many grand slams does Rafael Nadal have?	['22']	0
137	Who is the current German chancellor?	['Olaf Scholz']	0
138	How many seats are there in the German Bundestag?	['736']	0
139	What is the best-selling video game franchise of all time?	['Mario']	0
140	What U.S. state has the highest gross domestic product?	['California']	0
141	How many English translations of Les Miserables are there?	['8']	0
142	How many books has Shoshana Zuboff published?	['3']	0
143	Who holds the world's record for fastest rap in a number one single?	['Eminem']	0
144	How many core faculty are there in the UMass NLP lab?	['4']	0
145	How many member nations exist in the United Nations?	['193']	0
146	Will there be a total solar eclipse in the continental US this year?	['No']	0
147	Who is the current Prime Minister of Japan?	['Fumio Kishida']	0
148	Which is the oldest still-running university in the world?	['University of Bologna ']	0
149	What is the best-selling jazz album of all time?	['Kind of Blue']	0
150	Who holds record for highest goals scored in international football for Malaysia?	['Mokhtar Dahari']	0
151	How many games are there in the Ace Attorney main series? 	['6']	0
152	Where is Tesla's headquarters?	['Austin, TX']	0
153	The longest unbeaten streak of all time in the Premier League is how many matches?	['49']	0
154	Which language has the third largest population by total number of speakers?	['Hindi']	0
155	What is the name of the worldwide highest grossing Bollywood movie?	['Dangal']	0
156	Which is the second largest language edition of Wikipedia according to article count?	['Cebuano']	0
157	What was the shortest war in history?	['Anglo-Zanzibar War']	0
158	Where were the Summer Olympics held most recently?	['Tokyo, Japan']	0
159	Which K-Pop artist has the most followers on Instagram?	['Lisa from BLACKPINK']	0
160	What month and year did Bitcoin reach its peak value?	['November 2021']	0
161	How many food allergens with mandatory labeling are there in the United States?	['9']	1
162	Who is the X Corp.'s CEO?	['Linda Yaccarino']	1
163	Who has the most followers on Twitter?	['Elon Musk']	1
164	What's the largest stadium by capacity in the world?	['Narendra Modi Stadium']	1
165	How many children does Elon Musk have?	['11 (one child is deceased)']	1
166	How many seasons of the Mandalorian have been released?	['3']	1
167	Who is the chancellor of UMass Amherst?	['Javier Reyes']	1
168	Who is the U.S. representative for New York's 12th congressional district?	['Jerry Nadler']	1
169	What is the most recently released Studio Ghibli film?	['The Boy and the Heron']	1
170	How many LA metro rail stations are there?	['101']	1
171	What is Cristiano Ronaldo's current club?	['Al Nassr']	1
172	Who is the highest-paid athlete in the world?	['Cristiano Ronaldo']	1
173	How many asteroids have been discovered before impacting Earth?	['7']	1
174	Which country is currently at the top rank at the FIBA Men's World Ranking?	['United States']	1
175	What is Croatia's current national currency?	['Euro']	1
176	How many member states are there in the Eurozone?	['20']	1
177	Which country is the most recent member state of the Schengen Area?	['Croatia']	1
178	Who is the current leader of al-Qaeda?	['Saif al-Adel']	1
179	How many properties are there in the latest list of World Heritage in danger?	['56']	1
180	What is Greg Egan's latest novel?	['Scale']	1
181	Can women attend universities in Afghanistan?	['No']	0
182	What country became the latest country to adopt the Euro?	['Croatia']	1
183	Who is the most recent player to win both the PDC World Youth Championship and the PDC World Darts Championship?	['Michael Smith']	1
184	Tom Brady holds the NFL's single-season record for completions by successfully throwing how many passes?	['490']	1
185	Which country won the latest World Pastry Cup?	['Japan']	1
186	What is the largest lottery jackpot for a single ticket in history?	['$2.04 billion Powerball jackpot']	0
187	What is the title of Taylor Swift's most recent studio album?	['Midnights']	0
188	How many World Series titles have the Houston Astros won?	['two']	0
189	Who is the most recent former Prime Minister of the United Kingdom?	['Liz Truss']	0
190	Which country recently had many people killed and injured in a crowd crush during Halloween festivities?	['South Korea']	0
